,0,1,2,3,4,5,6,7,8,9
146,57,19,11,10,43,12,3,4,61,0
203,17,51,26,30,3,37,56,61,8,40
241,55,39,49,57,16,60,29,30,12,32
257,21,28,15,30,44,33,24,2,20,42
269,31,35,28,40,26,50,57,8,62,21
309,8,55,16,38,32,54,13,14,41,12
380,31,25,21,61,13,5,38,9,26,8
454,5,17,53,47,18,23,38,61,54,20
477,16,34,53,46,12,42,7,2,37,29
531,35,2,41,12,21,22,9,20,15,49
564,17,20,1,57,61,26,33,7,22,60
590,2,31,44,43,53,33,22,58,25,20
701,50,3,45,54,8,61,6,32,29,33
709,13,4,58,32,19,60,7,14,17,61
737,21,19,35,60,62,1,51,20,40,16
873,17,59,32,5,27,11,34,21,52,12
1079,28,16,5,50,45,35,14,8,51,42
1081,53,17,51,8,30,33,12,26,14,6
1103,36,18,7,45,2,21,25,34,6,31
1139,29,10,4,5,9,51,3,25,61,54
1173,8,14,2,41,16,31,6,48,35,20
1204,45,41,18,57,50,55,22,14,28,15
1245,38,54,49,12,4,26,23,35,60,0
1351,56,16,58,37,5,59,46,9,30,36
1357,13,4,17,44,34,9,39,25,24,19
1361,40,54,62,4,13,37,24,27,53,34
1453,51,44,56,59,55,9,47,58,32,43
1553,49,56,29,62,52,33,37,2,42,6
1631,22,12,54,58,9,41,36,55,2,40
1650,45,25,37,34,41,1,52,20,11,40
1665,17,54,52,3,57,6,24,12,56,46
1729,27,19,49,42,33,17,52,13,26,7
1740,35,3,46,49,37,19,31,34,48,25
1745,18,36,61,16,60,6,25,39,29,5
1763,56,12,48,54,46,38,36,23,39,18
1772,24,14,50,22,28,30,49,43,61,7
1829,36,54,27,51,30,11,39,20,18,57
1907,3,5,45,9,32,53,54,30,58,27
1915,51,52,20,21,5,24,12,38,36,53
1990,55,36,12,7,16,21,33,47,59,25
1993,49,5,45,3,42,43,37,56,32,17
2072,27,37,53,4,21,52,14,40,15,50
2088,41,28,45,2,43,21,30,39,27,4
2114,11,56,48,45,28,49,16,59,18,6
2131,40,25,16,14,18,15,57,50,53,59
2150,52,48,28,54,17,21,12,50,44,45
2176,59,55,8,31,6,57,27,29,39,35
2223,1,31,22,43,41,9,27,36,10,55
2379,49,60,54,25,6,8,10,35,16,46
2407,36,46,19,49,30,60,37,55,40,43
2416,52,5,20,55,8,6,48,9,33,18
2437,34,10,61,51,56,26,58,4,25,15
2532,50,36,27,11,3,21,60,31,7,25
2561,16,20,27,49,32,7,17,48,33,50
2565,29,56,53,4,22,2,55,30,61,31
2574,9,50,45,59,28,20,17,8,29,12
2611,19,37,27,7,9,58,54,49,35,24
2781,34,43,44,3,18,20,47,52,1,29
2798,8,29,12,36,24,58,16,51,4,60
2863,12,49,9,2,43,28,52,51,3,56
2886,61,16,22,51,10,21,46,36,18,37
2894,10,17,42,57,30,25,11,44,38,39
2909,27,8,42,5,22,4,56,41,25,37
2920,57,6,8,11,9,20,1,53,55,54
2926,31,61,32,36,58,20,43,52,1,14
2928,51,12,42,56,5,29,28,0,0,0
2930,27,7,32,4,36,17,13,9,56,28
2963,5,19,16,4,29,8,50,58,41,53
3009,61,56,20,45,39,47,53,60,14,36
3010,35,10,37,17,6,12,56,14,47,21
3074,25,55,50,54,24,56,59,12,60,57
3138,54,39,23,16,61,50,46,14,6,29
3174,54,27,5,23,49,46,39,40,28,17
3202,14,10,40,8,45,7,38,41,4,5
3262,9,60,61,21,15,22,30,58,40,46
