,0,1,2,3,4,5,6,7,8,9
1,39,30,16,42,51,62,10,52,53,11
17,34,10,40,55,1,13,45,33,19,20
25,19,36,32,1,8,18,0,0,0,0
55,3,30,43,27,57,16,47,33,0,0
115,53,25,37,57,14,33,3,8,16,2
123,54,44,23,7,3,41,28,29,25,49
143,20,38,4,16,46,55,1,28,41,59
178,41,21,32,9,55,58,29,37,11,27
182,28,7,55,44,32,33,38,45,13,20
202,27,28,33,55,3,34,41,29,47,36
232,54,7,45,27,30,26,20,48,8,32
238,59,31,60,62,30,46,13,19,55,51
254,10,3,5,55,12,39,56,33,29,21
291,39,45,43,20,55,3,46,51,28,5
295,27,5,36,45,30,40,1,14,59,55
310,9,50,30,54,1,11,38,26,53,45
339,51,34,38,18,44,30,4,39,45,2
359,20,7,45,22,19,23,50,48,51,24
378,45,28,26,13,44,31,22,51,43,59
405,57,26,62,54,16,44,6,35,58,53
425,53,14,30,9,8,26,7,42,58,57
433,9,45,20,43,12,50,33,11,30,36
437,53,2,41,39,22,14,54,34,3,57
448,38,42,27,1,46,48,34,57,56,43
466,42,29,11,50,58,13,14,43,48,23
486,14,17,55,58,54,11,46,48,53,50
492,25,38,20,41,34,21,8,49,62,32
535,34,56,27,33,44,41,31,2,36,46
544,13,44,7,30,58,60,33,16,43,34
550,56,7,46,5,9,3,28,48,45,55
591,4,5,19,27,61,37,1,24,26,20
607,39,38,33,55,32,20,17,30,48,18
610,17,42,3,59,32,33,31,44,48,2
618,27,36,25,54,34,37,9,48,4,33
635,55,2,46,33,42,11,4,56,25,32
640,57,35,23,17,30,11,44,32,4,56
716,34,55,39,40,53,23,30,16,49,7
760,12,24,31,14,20,52,28,8,40,4
762,33,51,14,21,10,37,48,9,59,3
773,37,39,48,10,31,16,23,49,45,27
796,15,27,59,43,54,38,30,58,24,36
819,61,30,2,11,48,36,37,4,55,20
832,47,2,30,11,15,33,37,55,34,41
843,35,16,40,59,33,54,7,50,37,13
849,45,43,3,12,51,22,61,11,36,57
850,35,20,2,9,44,42,51,27,29,13
851,9,28,24,34,27,29,22,8,16,6
879,58,3,39,36,61,37,30,2,52,9
895,45,20,50,46,25,41,32,40,22,42
961,53,17,11,7,35,54,14,39,41,19
965,62,36,47,35,45,61,28,18,17,52
966,43,34,28,5,6,46,57,2,20,35
967,18,38,58,31,34,52,1,54,39,50
999,47,58,39,50,48,29,11,38,49,54
1000,49,30,45,20,14,50,37,31,10,22
1008,44,26,9,27,48,40,4,60,54,11
1012,27,53,29,13,20,28,38,3,36,1
1031,39,14,49,13,34,40,24,56,3,30
1041,54,3,28,25,29,46,39,22,4,56
1044,28,42,54,3,20,25,39,41,19,59
1052,15,30,27,7,12,59,1,29,58,28
1071,5,25,13,3,39,49,10,28,11,47
1077,18,17,56,24,15,41,33,46,23,20
1118,14,45,46,40,17,31,41,16,49,60
1146,24,15,25,48,16,47,8,54,17,43
1165,40,33,25,32,47,5,62,34,8,36
1184,53,8,50,29,21,24,13,49,52,26
1212,30,5,48,39,41,47,31,59,8,38
1225,23,38,45,17,14,2,4,57,29,52
1232,39,60,33,1,28,20,14,8,43,52
1272,50,60,59,40,20,8,26,21,1,22
1277,57,61,50,44,13,14,41,23,35,21
1295,24,43,2,60,28,27,33,46,4,25
1328,35,54,3,33,58,18,5,44,19,16
1343,26,46,16,10,56,47,44,57,5,41
1378,6,52,31,8,41,57,15,26,43,51
1406,5,38,19,13,50,23,39,8,57,4
1411,20,41,57,5,11,10,29,60,42,55
1440,39,15,41,9,5,8,59,25,62,53
1456,21,9,16,17,40,45,57,31,52,8
1459,14,5,10,46,55,9,36,29,53,45
1490,43,34,5,30,28,13,10,9,15,54
1497,38,50,49,42,3,58,31,5,44,20
