,0,1,2,3,4,5,6,7,8,9
0,28,36,27,17,57,10,14,21,9,20
158,16,13,58,5,48,42,39,61,12,47
175,24,26,44,48,15,56,11,29,9,49
217,38,48,57,43,56,26,30,32,15,49
313,2,60,49,15,45,42,44,0,0,0
375,46,62,53,27,24,50,6,49,33,40
460,51,50,14,5,10,44,12,22,43,49
500,30,19,6,2,33,41,13,15,57,61
528,35,26,5,40,32,2,62,53,46,39
569,36,55,41,49,26,15,2,54,31,8
697,61,14,18,50,41,19,11,31,60,13
821,49,27,35,22,47,2,34,58,28,55
830,13,44,53,29,57,52,35,23,36,4
988,58,34,35,27,46,21,20,13,44,33
1020,32,24,40,47,35,9,22,49,38,39
1065,31,35,37,36,48,13,24,16,61,47
1092,19,47,34,5,4,49,20,46,40,7
1127,18,5,24,42,34,37,6,40,52,62
1137,20,46,60,23,40,53,27,41,8,48
1168,30,33,42,56,53,4,9,58,1,22
1172,35,8,29,17,54,48,60,7,0,0
1215,15,19,26,32,16,28,54,17,44,0
1340,18,29,62,2,13,17,15,40,54,33
1399,11,12,5,43,1,17,42,53,14,54
1402,56,13,25,37,20,43,60,32,50,35
1446,35,41,12,21,18,36,26,31,24,28
1501,1,42,54,40,9,37,3,30,17,44
1544,30,60,53,44,8,62,6,7,26,10
1577,11,32,16,13,27,44,1,3,42,52
1592,18,45,23,25,21,33,30,31,7,60
1619,40,32,20,51,28,61,58,59,62,9
1685,17,56,39,21,35,55,46,44,60,38
1859,3,44,47,61,50,32,52,42,19,24
1891,62,10,35,51,12,44,41,34,8,3
1964,22,5,62,28,59,41,23,52,53,43
1966,47,54,23,50,18,11,57,9,61,52
2002,13,22,12,61,29,8,36,33,49,58
2075,20,8,49,35,21,51,25,34,59,41
2079,17,62,11,38,57,18,29,8,42,32
2109,23,13,54,14,27,58,60,6,50,18
2125,10,14,62,29,46,54,39,59,36,21
2147,59,13,34,42,54,11,14,2,21,27
2181,51,55,49,45,4,24,2,12,16,58
2186,15,27,10,7,9,30,17,20,22,1
2225,43,5,55,38,33,44,16,59,50,53
2254,40,45,20,9,39,49,29,34,37,0
2612,19,55,57,16,44,22,50,43,33,49
2747,39,50,41,54,44,28,40,3,35,31
2802,42,16,55,22,33,34,3,19,6,40
2939,30,42,8,29,56,48,43,47,57,4
2975,21,57,55,38,16,23,44,0,0,0
2995,1,50,60,11,42,9,56,21,29,54
3005,5,27,61,36,19,53,42,1,33,41
3104,2,34,60,11,57,31,48,59,12,6
3139,9,57,50,23,14,45,17,13,47,62
3179,5,16,58,25,39,14,30,7,35,44
3194,23,33,5,31,24,58,51,53,13,8
3233,20,44,28,11,53,16,15,34,51,48
3334,27,3,13,44,37,11,26,36,24,2
3434,11,48,29,41,2,33,24,31,4,10
3503,10,42,36,4,57,31,17,12,48,14
3507,50,45,34,40,14,15,37,17,54,44
3520,50,41,20,56,15,19,26,21,52,51
3599,62,20,45,26,40,10,60,38,54,59
3619,40,34,42,61,8,9,15,23,0,0
3661,48,50,42,11,6,32,8,59,43,49
3667,42,5,44,53,59,33,47,57,45,27
3698,23,58,16,21,35,48,17,18,13,20
3749,46,15,35,49,25,57,17,19,8,51
3762,37,12,41,1,49,42,56,33,54,61
3919,17,30,13,1,23,32,35,10,27,20
4070,39,4,43,48,42,38,15,31,60,49
4114,27,7,47,32,20,44,22,43,51,29
4149,54,33,39,12,31,44,45,37,2,28
4278,34,37,3,43,28,52,33,41,44,35
4310,10,13,47,60,54,14,49,18,28,7
4369,14,13,22,46,58,26,47,8,33,51
4418,5,61,50,16,54,22,55,12,2,10
4427,3,16,55,15,28,8,41,2,0,0
4483,15,42,52,51,6,24,62,54,0,0
4501,52,20,16,58,7,34,38,45,39,1
4507,41,30,37,25,57,1,27,20,10,31
4543,44,43,18,56,31,62,27,15,39,14
4597,34,37,7,25,32,38,19,2,43,0
4654,55,7,49,9,47,37,8,54,18,14
4676,35,41,20,44,45,55,27,25,52,31
4687,39,3,10,56,44,53,34,35,21,7
4756,33,36,1,41,47,40,49,11,59,46
4856,54,46,30,6,44,31,39,1,18,38
4931,28,44,2,10,62,27,48,30,31,35
4947,31,32,56,57,18,34,61,35,25,62
4974,16,38,48,22,20,50,27,13,11,5
5031,35,3,4,20,39,26,38,47,43,33
5080,16,56,22,5,62,23,41,9,8,18
5113,5,25,20,45,54,40,60,56,18,47
5120,55,7,60,45,28,53,10,42,62,23
5125,30,13,37,16,60,34,31,4,33,59
5204,39,5,34,40,36,2,48,13,26,25
5250,43,11,8,47,38,10,40,24,52,62
5302,7,39,38,34,24,56,46,28,58,41
5303,17,11,30,9,37,46,10,12,13,45
5331,58,34,41,40,32,10,1,55,33,6
5376,33,13,18,24,22,49,50,35,43,9
5524,13,23,18,5,30,24,36,27,61,33
5564,16,8,57,44,18,14,2,43,12,33
5687,40,53,46,45,56,18,25,12,32,28
5721,30,16,27,23,42,51,9,10,57,24
5796,39,60,2,42,40,36,4,52,11,3
5830,40,20,19,50,55,16,43,27,58,42
5848,45,39,48,40,53,27,1,59,13,20
6072,44,9,31,51,38,7,32,12,3,52
6086,23,31,36,53,62,41,48,61,30,39
6184,36,40,42,39,25,34,48,19,52,8
6203,12,32,7,52,57,33,44,49,29,54
6246,37,58,11,56,41,33,48,53,19,25
6303,35,7,21,58,28,41,0,0,0,0
6320,52,37,56,5,60,2,3,50,53,0
6327,46,12,20,17,35,2,33,28,62,60
6349,26,51,2,43,41,56,50,17,46,39
6409,31,32,36,48,4,41,10,55,40,6
6422,20,22,58,12,55,6,44,10,8,4
6543,27,37,57,4,52,60,38,30,13,15
6652,42,37,11,20,18,39,25,4,22,27
6729,60,26,33,40,12,39,30,38,47,16
6810,53,5,48,52,17,12,7,10,44,28
6853,6,29,27,40,22,44,26,11,50,59
6905,3,28,29,52,41,20,43,55,17,47
6906,27,57,32,30,55,24,21,54,0,0
6945,28,38,29,25,9,33,23,20,47,6
6974,54,53,3,31,62,52,4,8,1,22
6988,27,7,25,47,6,10,19,34,43,48
7053,34,3,50,20,55,35,57,29,21,49
7106,5,22,27,12,16,41,30,4,44,36
7233,13,19,42,34,37,25,7,9,16,1
7274,22,34,44,16,29,48,54,47,15,5
7279,55,2,3,23,13,39,59,10,22,0
7290,17,50,60,10,42,47,25,16,15,8
7313,21,34,28,42,16,19,38,58,47,27
7366,14,54,22,41,59,31,3,15,35,50
7396,13,52,12,37,28,38,11,59,36,46
7627,45,9,5,23,17,34,46,7,58,48
7789,15,50,46,37,35,27,54,62,1,40
7959,22,54,15,34,52,31,50,24,56,21
7972,13,50,39,61,4,7,32,56,43,9
8204,43,57,55,41,26,62,39,44,40,23
8314,31,35,16,22,23,58,61,40,19,36
8318,33,3,16,62,49,35,55,48,45,37
8427,40,58,37,6,35,1,57,50,56,33
8475,37,50,41,15,34,43,51,27,9,22
8504,54,12,19,39,60,4,14,55,44,23
8537,17,32,53,20,47,4,21,16,55,11
8584,35,55,7,4,49,31,45,58,39,29
8601,56,31,36,32,29,8,30,1,45,28
8643,42,27,41,3,25,5,33,23,14,59
8690,12,18,42,59,62,54,45,36,19,30
8707,31,17,48,49,55,56,18,16,27,60
8720,62,7,5,20,49,51,58,9,41,16
8722,18,50,47,19,29,13,62,17,44,54
8755,15,31,52,17,39,50,36,14,27,35
8867,16,3,30,6,9,44,5,8,47,34
8895,29,25,24,19,2,3,10,5,11,8
8908,12,53,62,18,14,41,33,24,4,3
8920,32,13,45,26,51,12,21,9,29,1
8923,14,62,56,58,35,20,25,50,55,42
9010,48,8,1,22,43,59,61,21,19,7
9029,21,17,5,48,55,61,9,46,41,54
9145,16,41,14,21,22,5,42,49,11,26
9185,11,22,29,59,47,3,40,8,16,19
9220,17,8,61,60,22,10,7,49,46,11
9264,57,15,52,20,36,14,18,24,47,6
9292,62,38,40,17,59,39,19,1,44,22
9305,8,46,62,48,58,18,56,10,30,29
9400,5,41,53,20,36,44,23,14,55,22
9493,17,50,8,31,59,18,43,45,58,12
9504,50,9,1,57,11,13,34,7,56,17
9529,16,53,36,2,38,30,31,20,7,32
9595,52,32,60,25,59,33,14,6,0,0
9826,34,12,57,7,15,10,33,9,6,22
9938,3,18,55,52,57,19,38,61,29,47
9952,41,15,62,7,57,43,11,17,36,28
10102,58,1,28,11,40,52,49,21,30,9
10129,25,2,42,6,23,38,41,46,24,56
10150,16,34,3,22,19,29,8,45,50,2
10156,18,62,44,1,26,45,43,60,36,59
10172,45,23,58,20,40,3,34,26,33,21
10383,35,52,6,12,50,32,11,18,16,58
10424,54,38,31,10,15,3,61,20,32,6
10469,13,60,33,18,58,35,8,1,31,37
10489,56,26,12,57,44,34,6,41,37,30
10513,36,52,14,11,54,26,45,1,5,28
10619,34,41,10,21,7,25,1,45,33,56
10648,4,49,50,39,33,24,6,7,44,36
10652,26,37,56,29,15,40,8,52,35,31
10736,10,51,24,4,50,54,16,28,62,58
10814,26,48,9,13,16,23,31,10,19,46
10868,40,20,49,37,56,42,17,35,47,39
10936,58,55,27,42,18,53,16,25,54,15
10955,36,25,60,7,48,23,54,56,17,52
11071,17,49,48,31,34,32,57,38,61,60
